strategy,conv_rate_mean,conv_rate_std,conv_per_1k_mean,conv_per_1k_std,messages_sent_mean,messages_sent_std,days_to_convert_mean,days_to_convert_std
fixed,0.028362500000000006,0.0009966225860110578,7.090625,0.24915564650276448,32000.0,0.0,1.421872219466239,0.034720814898064084
trigger,0.013918749999999999,0.0007568492080224504,10.513354542943866,0.5647210597686332,10590.95,20.919582867935514,0.5193842615760268,0.030915588399527356
hybrid,0.024787499999999997,0.0010292594425119444,8.138172685993421,0.33142484479928047,24365.95,41.7794648626634,1.2287675467811732,0.04386329702124102
