"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Post type",Languages,"Custom labels","Funded content status",Comment,Date,Impressions,"People Reached",Engagements,Shares,Likes,Comments,"Seconds Viewed","60-Second Video Views","3-Second Video Views","Average Seconds Viewed","Total clicks","Other Clicks","Link Clicks","Photo Views","Article Average Time Spent","Article Daily Scroll Depth","3-Second Viewers","Unique Video 60-Second Views","Engaged users","Overall negative feedback","Unique negative feedback from users","Unique negative feedback from users: Hide"
175798001551068,101993568931512,"Nepal Stroke Project",,"“Yoga means additionaddition of energy, strength, and beauty to body, mind, and soul.”

We wish everyone a Happy International Yoga Day 2022🧘‍♀️

#internationalyogaday2022  #Yoga #TuesdayMotivation #internationaldayofyoga #june21
#stroke #strokeawareness #nepalstrokeassociation",0,"06/20/2022 20:06",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid04ZyaboMf8Ubbtr6hMuFz8PmnBmTwKCeqonagxb1euVv6HhDrT29nb4J547TeHwmVl,0,Photo,,,,,Lifetime,875,831,16,1,12,3,0,0,0,0,14,14,,,0,0,0,0,20,0,0,
175627791568089,101993568931512,"Nepal Stroke Project",,"We thank Krishna Dhungana from Synergy Corporation for organizing a remarkable stroke CME in Narayanghat together with Nepal Stroke Project and local and international speakers. Continous events like this will improve the outcome of many stroke patients! Let's keep the stroke movement going!l @synergycorporationnepal",0,"06/20/2022 01:06",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid03H4KzmcGGZJN1LEVJVazQftv58RebnQfnrhth9VB4FRDUXpiXkx8rmiBr6JdYGhel,0,Photo,,,,,Lifetime,710,679,8,0,8,0,0,0,0,0,5,3,,2,0,0,0,0,12,0,0,
174213848376150,101993568931512,"Nepal Stroke Project",,"“Hello, Everyone! we are officially on Tiktok, Please like and support our page for 
regular updates on #stroke! 
Also tagging Mr. Thakuri Kamal @thakuri_kamal6  who is sharing very useful information on our Tiktok Page!

Follow us - https://www.tiktok.com/@nepalstrokeproject 

More information on Stroke - https://bit.ly/3syuhde

#stroke #strokeawareness #nepalstrokeassociation",0,"06/14/2022 06:06",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid02v2vbQfLwy5KpmMJjdReGvkXETnhM8XeFMiN1zuuUsCiC8xGu8Rr69xxC1vLPBuoHl,0,Photo,,,,,Lifetime,898,813,15,1,12,2,0,0,0,0,19,12,6,1,0,0,0,0,27,0,0,
172289461901922,101993568931512,"Nepal Stroke Project",,"Here how you can help prevent stroke by making healthy choices and controlling any health conditions you may have! Six best ways to prevent the Stroke!

Read more information about the Stroke here:  https://bit.ly/3syuhde

#nepalstrokeassociation #stroke #strokeawareness #tips #healthtips",0,"06/06/2022 04:06",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid0fUQNDREpUd6LK7Ry2mT6x1PGBuDxqpxJpotEsZy2oVYoTyHoprQDTS26rn9fZNfKl,0,Photo,,,,,Lifetime,1078,1008,19,3,16,0,0,0,0,0,16,10,6,,0,0,0,0,33,0,0,
169776995486502,101993568931512,"Nepal Stroke Project",,"Many people know the classic signs of a stroke, such as trouble balancing, facial drooping and difficulty speaking. But what does having a stroke really feel like ?

Please write your answer in the comment section!

#nepalstrokeassociation #stroke #strokeawareness",0,"05/26/2022 05:05",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid0MXQvkpkB6gAiA2yUepnTPDkZQUJ5wLanbQMF3JcrZ5s9ndaFNzgBBae468AxfVkFl,0,Photo,,,,,Lifetime,577,542,9,0,9,0,0,0,0,0,13,13,,,0,0,0,0,18,0,0,
168366622294206,101993568931512,"Nepal Stroke Project",,"Stroke Riskometer™ is a unique and easy to use tool for assessing your individual risk of a stroke in the next five or ten years and what you can do to reduce the risk.
The app can also give you an indication of your risk of heart attack, dementia, and diabetes.

Download the app:
Google Playstore - https://bit.ly/3wEBVnN
App Store - https://apple.co/3wI8KQV
Also available in Nepali Language!
#nepalstrokeassociation #stroke #strokeawareness #strokesurvivor #strokerecovery #strokerehab",0,"05/19/2022 23:05",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid091iG26Xn5jZCuLQxaxU8ekCG7AoUWgpV1Qy6pYS7EMrYM155n3r8ZDoqnszofEbml,0,Photo,,,,,Lifetime,841,751,15,1,14,0,0,0,0,0,11,8,1,2,0,0,0,0,18,1,1,1
166926202438248,101993568931512,"Nepal Stroke Project",,"Know the common signs of stroke. Remember to visit your nearest hospital immediately if you ever see them. Quick decision can save someone life. Know more .... https://bit.ly/3syuhde

#stroke  #strokesurvivor #strokerecovery",0,"05/13/2022 21:05",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid035ujQDevsGG7fdwV72mk1j132rYtBGm42xrDcHx1eySf1MDNvRPcyowRqy4m4V6JRl,0,Photo,,,,,Lifetime,854,764,17,2,15,0,0,0,0,0,13,10,3,,0,0,0,0,24,1,1,1
159939186470283,101993568931512,"Nepal Stroke Project",,"We wish you All a Happy New Year! May the next year be filled with Health& Happiness and may this new year turn all your efforts into great achievements!",0,"04/13/2022 15:04",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid02o36kuYkS9GHwbYM5efathfXrSkrn4qXeMgbUUSPBMx49P8pzn1dZ1LwCA1uH6Pvyl,0,Photo,,,,,Lifetime,610,580,6,0,6,0,0,0,0,0,2,1,,1,0,0,0,0,8,0,0,
158619663268902,101993568931512,"Nepal Stroke Project",,"Janakpur
...  A thrilling city!
... A great stroke care evening with 150 participants!
... An unforgettable stroke camp at Janaki Mandir with more than 200 patients (and nearly 40 degrees)! Nepal Stroke Association World Stroke Campaign 

Check more: https://nepalstrokeproject.org/stroke-camp-in-janaki-mandir/",0,"04/07/2022 19:04",N/A,https://www.facebook.com/nepalstrokeproject/posts/pfbid05xMYLxqnQjiMA4ahcEmb889dAJixPRcH4y62Sgb4QZvuJKJkv3rg6eJRG3DmRyc9l,0,Photo,,,,,Lifetime,574,543,6,0,6,0,0,0,0,0,18,8,,10,0,0,0,0,20,0,0,
