estimator,log_size,true_value,mean_estimate,bias,bias_ci_low,bias_ci_high,rmse,unbiased
ips,500,0.2728,0.243,-0.0297,-0.0528,-0.0031,0.0853,False
snips,500,0.2728,0.2568,-0.016,-0.0399,0.0089,0.0783,True
doubly_robust,500,0.2728,0.2569,-0.0159,-0.0401,0.0094,0.0788,True
ips,2000,0.2732,0.2662,-0.007,-0.0207,0.0072,0.0457,True
snips,2000,0.2732,0.2703,-0.0029,-0.0149,0.0092,0.0389,True
doubly_robust,2000,0.2732,0.2696,-0.0037,-0.0157,0.0088,0.0399,True
ips,10000,0.2734,0.2728,-0.0006,-0.0071,0.0057,0.0213,True
snips,10000,0.2734,0.2705,-0.0029,-0.008,0.0019,0.0166,True
doubly_robust,10000,0.2734,0.2703,-0.0031,-0.0084,0.0018,0.017,True
